N,time_exact_ortools_vrp,cpc_exact_ortools_vrp,std_exact_ortools_vrp,solved_exact_ortools_vrp,optimal_exact_ortools_vrp,time_exact_milp,cpc_exact_milp,std_exact_milp,solved_exact_milp,optimal_exact_milp,time_exact_dp,cpc_exact_dp,std_exact_dp,solved_exact_dp,optimal_exact_dp,time_exact_pulp,cpc_exact_pulp,std_exact_pulp,solved_exact_pulp,optimal_exact_pulp,time_heuristic_or,cpc_heuristic_or,std_heuristic_or,solved_heuristic_or
5,1.4205232334136964,0.4870035784151405,0.08585176840403741,100,100,1.3742711448669434,0.4870035784151405,0.08585176840403741,100,100,1.3184459853172301,0.4870035784151405,0.08585176840403741,100,100,1.2541734385490417,0.4870035784151405,0.08585176840403741,100,100,1.5334151458740235,0.5862955707740038,0.1418616726895963,100
6,1.113625054359436,0.4281389110007634,0.09455371646649596,100,100,1.3621246123313904,0.4281389110007634,0.09455371646649596,100,100,1.3582957482337952,0.4281389110007634,0.09455371646649596,100,100,1.439831748008728,0.4281389110007634,0.09455371646649596,100,100,1.2901141667366027,0.5432410726634165,0.13835086529730756,100
7,1.4912248158454895,0.4040177304989525,0.07342568687057412,100,100,1.6994403648376464,0.4040177304989525,0.07342568687057412,100,100,1.6965884447097779,0.4040177304989525,0.07342568687057412,100,100,1.8186597084999085,0.4040177304989525,0.07342568687057412,100,100,1.4917298221588136,0.5291514796138342,0.10105554484371078,100
8,1.8721827840805054,0.4108277836954221,0.082963727313333,100,100,2.0458968615531923,0.4108277836954221,0.082963727313333,100,100,2.1961150050163267,0.4108277836954221,0.082963727313333,100,100,2.355534813404083,0.4108277836954221,0.082963727313333,100,100,1.704718418121338,0.5105729776108637,0.08780421604613671,100
9,2.152406415939331,0.38409047160918514,0.07651645525905754,100,100,2.423165216445923,0.38409047160918514,0.07651645525905754,100,100,2.417991678714752,0.38409047160918514,0.07651645525905754,100,100,2.533522491455078,0.38409047160918514,0.07651645525905754,100,100,1.8406089091300963,0.4885410137867762,0.08608432944548663,100
10,2.6449568700790405,0.3828374266931787,0.06890982862270509,100,100,2.8575619769096376,0.3828374266931787,0.06890982862270509,100,100,2.8622557878494264,0.3828374266931787,0.06890982862270509,100,100,3.0187190485000612,0.3828374266931787,0.06890982862270509,100,100,2.028787567615509,0.4814343575416133,0.07579567898245365,100
11,3.4030090808868407,0.37373568355190484,0.06355300440778733,100,100,4.1379875206947325,0.37373568355190484,0.06355300440778733,100,100,4.277275688648224,0.37373568355190484,0.06355300440778733,100,100,4.4583229637146,0.37373568355190484,0.06355300440778733,100,100,2.3211782932281495,0.4849996653512459,0.08833410370576926,100
12,3.5236168718338012,0.3650051474198699,0.05814302315915312,100,100,3.772824800014496,0.3650051474198699,0.05814302315915312,100,100,3.7744910883903504,0.3650051474198699,0.05814302315915312,100,100,3.969396860599518,0.3650051474198699,0.05814302315915312,100,100,2.465562918186188,0.46738225856485466,0.06902814865424046,100
13,4.045333948135376,0.37059631534780446,0.06472959905056812,100,100,4.336415781974792,0.37059631534780446,0.06472959905056812,100,100,4.3148368549346925,0.37059631534780446,0.06472959905056812,100,100,4.538916420936585,0.37059631534780446,0.06472959905056812,100,100,2.6288704872131348,0.46187651607852714,0.07475757378349812,100
14,4.6237605810165405,0.35947491440190266,0.056528559454053925,100,100,4.911313772201538,0.35947491440190266,0.056528559454053925,100,100,4.912639162540436,0.35947491440190266,0.056528559454053925,100,100,5.142464692592621,0.35947491440190266,0.056528559454053925,100,100,2.8630452227592467,0.4621622449299321,0.0668737959635942,100
15,5.283059136867523,0.3478717150439819,0.04677974061348405,100,100,5.508041336536407,0.3478717150439819,0.04677974061348405,100,100,5.49253123998642,0.3478717150439819,0.04677974061348405,100,100,5.7816128516197205,0.3478717150439819,0.04677974061348405,100,100,2.9983242106437684,0.4566565481349826,0.06426779281955057,100
16,5.888967704772949,0.3415567711082986,0.06334810829905432,100,100,6.167141523361206,0.3415567711082986,0.06334810829905432,100,100,6.143998897075653,0.3415567711082986,0.06334810829905432,100,100,6.456576483249664,0.3415567711082986,0.06334810829905432,100,100,3.2141932439804077,0.44857826105784626,0.06978902656743562,100
17,6.547090759277344,0.34592682173694755,0.050574435270378075,100,100,6.8049721956253055,0.34592682173694755,0.050574435270378075,100,100,6.730469372272491,0.34592682173694755,0.050574435270378075,100,100,7.100534937381744,0.34592682173694755,0.050574435270378075,100,100,3.413498306274414,0.4456094681975596,0.06475635503559722,100
18,7.24253410577774,0.3435455352362866,0.054698287516317425,100,100,7.4751601934432985,0.3435455352362866,0.054698287516317425,100,100,7.462929193973541,0.3435455352362866,0.054698287516317425,100,100,7.884661726951599,0.3435455352362866,0.054698287516317425,100,100,3.6853490257263184,0.4418995869821972,0.06020637419409074,100
19,7.964215385913849,0.33534485351000176,0.0410633444559873,100,100,8.198959848880769,0.33534485351000176,0.0410633444559873,100,100,8.189273836612701,0.33534485351000176,0.0410633444559873,100,100,8.549160902500153,0.33534485351000176,0.0410633444559873,100,100,3.8712971925735475,0.4238553397435891,0.05461537762545064,100
20,8.769114518165589,0.3269640726707876,0.050311192258786684,100,100,8.988163301944732,0.3269640726707876,0.050311192258786684,100,100,8.986903631687165,0.3269640726707876,0.050311192258786684,100,100,9.359248163700103,0.3269640726707876,0.050311192258786684,100,100,4.142962791919708,0.42751163471490145,0.06571085625985992,100
