epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,-8.055090773202286e-05,0.8491728143331483,0.8981564586257181,0.0002,2.499446196621504,rollout,0.7113707661628723
1,-9.931882995507143e-06,0.8796376288426184,,0.0001999509027563903,2.5,rollout,0.7109952569007874
2,-1.9404424913697464e-07,0.8598560421326621,0.8544216516010652,0.00019980365947861302,2.499446196621504,rollout,0.7113072872161865
3,-2.4666300068550603e-07,0.8478835807274284,,0.00019955841547800645,2.4977853441190727,rollout,0.7113198041915894
4,-1.0535218504514887e-06,0.8565742018426348,0.8602306816063081,0.00019921541278079054,2.495019114830393,rollout,0.7113330364227295
5,-1.9013646749499457e-07,0.8611521879151322,,0.0001987749898892162,2.491150294113875,rollout,0.7111510634422302
6,-1.8973663126568378e-07,0.8528361048693466,0.8496735369476219,0.00019823758144750452,2.4861827775440335,rollout,0.7108802199363708
7,4.829632944070757e-06,0.8828758560693304,,0.00019760371781290536,2.480121566988977,rollout,0.7108686566352844
8,-1.9510454819737787e-07,0.8962486359411965,0.888796188377075,0.00019687402453229879,2.4729727655739477,rollout,0.7107328772544861
9,-1.8806865976254509e-07,0.8966606156994172,,0.00019604922172485585,2.4647435715359918,rollout,0.7109857797622681
10,-1.7276934113491885e-05,0.8727245211200515,0.8826736225305047,0.0001951301233713678,2.455442270975947,rollout,0.7103705406188965
11,-1.8646792256049592e-07,0.8724680786318108,,0.00019411763651094546,2.44507822951504,rollout,0.7106634378433228
12,-1.8555863372663832e-07,0.8754355563112313,0.8866587995115205,0.00019301276034588104,2.433661882864499,rollout,0.7109819650650024
13,-1.8458664641229916e-07,0.8748459369128523,,0.00019181658525555613,2.4212047263176797,rollout,0.7115626335144043
14,-1.8384059558229637e-07,0.8740179033009461,0.8709019525539602,0.00019053029172036898,2.4077193031752766,rollout,0.7112027406692505
15,-3.2022357113229797e-06,0.8705617075911118,,0.00018915514915674264,2.3932191921152834,rollout,0.711479902267456
16,7.197771612273603e-06,0.8744211845986471,0.8771201086954376,0.00018769251466436445,2.377718993520416,rollout,0.7110133171081543
17,-9.328382535519116e-06,0.8743609975764819,,0.00018614383168689242,2.3612343147767634,rollout,0.7107417583465576
18,-1.7854547763818117e-07,0.8746897857239567,0.8765772592062271,0.00018451062858745054,2.3437817545584747,rollout,0.7105191946029663
19,7.683314921299218e-07,0.8748717611899864,,0.00018279451714031894,2.3253788861142994,rollout,0.7108425498008728
20,-1.756009022339337e-07,0.8697059455957556,0.8513451861046583,0.0001809971909403073,2.3060442395728162,rollout,0.7101113796234131
21,-1.7402107545194666e-07,0.8682861915345268,,0.00017912042373138123,2.2857972832841646,rollout,0.709945797920227
22,6.79977041784241e-06,0.8674559525500278,0.8538085996370884,0.00017716606765619107,2.2646584042170663,rollout,0.7106083035469055
23,-1.70654300006845e-07,0.852708601003104,,0.00017513605142823076,2.242648887430876,rollout,0.7100954651832581
24,-1.5109193567563276e-05,0.8621395022145448,0.8716044929529321,0.00017303237842843048,2.2197908946433302,rollout,0.6889219284057617
25,-1.670227590958954e-07,0.8670327242411096,,0.0001708571247280615,2.196107441915577,rollout,0.6885426044464111
26,-1.6511224629311982e-07,0.867180345058323,0.8657641931461268,0.00016861243703990454,2.1716223764769533,rollout,0.6894320249557495
27,-1.6314111112099757e-07,0.8669365147413536,,0.00016630053059970337,2.1463603527128456,rollout,0.6893070936203003
28,-1.6111130918261551e-07,0.8687664455412558,0.8661242919931509,0.00016392368697999463,2.1203468073398137,rollout,0.689489483833313
29,-1.5902493837908575e-07,0.8667431400802733,,0.00016148425183847118,2.093607933792975,rollout,0.6897875070571899
30,-1.5688406676872546e-07,0.8658968045255421,0.8789872422796765,0.0001589846326031011,2.0661706558514332,rollout,0.6897968053817749
31,-1.546908366852525e-07,0.8672008454113287,,0.000156427296096287,2.0380626005283182,rollout,0.6899063587188721
32,-1.5244751608634033e-07,0.8671005345302403,0.863415942484269,0.00015381476610041014,2.0093120702527214,rollout,0.6900317072868347
33,-1.501562957173519e-07,0.866444326255722,,0.00015114962086716193,1.9799480143715529,rollout,0.6900101900100708
34,-1.478195315485209e-07,0.8667593557573839,0.8543964405195923,0.00014843449057312067,1.9500000000000002,rollout,0.6902906894683838
35,-5.074060822778393e-06,0.8668949893902277,,0.0001456720547240849,1.9194981822499513,rollout,0.690313994884491
