epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.40491438859701157,0.6017718011726145,0.5574399610294611,0.0001,2.5,28850.878883361816,rollout,0.5465081334114075,arithmetic
1,-0.3018717444241047,0.5425200925194186,,9.997557473810373e-05,2.5,13099.977889537811,rollout,0.46550410985946655,arithmetic
2,-0.3107087635844946,0.46685205137208846,0.4510224574379458,9.990232305719946e-05,2.5,12685.365063667297,rollout,0.4443710744380951,arithmetic
3,-0.21867643205076456,0.4515317029664263,,9.978031724785248e-05,2.5,13095.31856584549,rollout,0.4400087594985962,arithmetic
4,-0.17755110051482917,0.44563036853226695,0.43659321918617333,9.960967771506668e-05,2.5,14564.481520175934,rollout,0.4400210380554199,arithmetic
5,-0.13075709611922504,0.44170629482198104,,9.939057285945934e-05,2.5,18184.53982234001,rollout,0.4373171925544739,arithmetic
6,-0.12689481164515018,0.43963210827740157,0.43578941689403367,9.912321891107012e-05,2.5,18182.5868973732,rollout,0.4370855391025543,arithmetic
7,-0.11101964548230171,0.437308291535151,,9.880787971596802e-05,2.5,28541.831726551056,rollout,0.43724867701530457,arithmetic
8,-0.09380904021114111,0.43566652858213295,0.4320767565422149,9.844486647586726e-05,2.5,21225.337334394455,rollout,0.43154966831207275,arithmetic
9,-0.07006586158648133,0.4338780125085898,,9.80345374410087e-05,2.0500000000000003,18109.83861899376,rollout,0.43137070536613464,arithmetic
10,-0.06536339288577438,0.4334766407257031,0.438410058611969,9.757729755661012e-05,2.0500000000000003,15347.524850606918,rollout,0.4310867488384247,arithmetic
11,-0.04342011062055826,0.43262954887980054,,9.707359806323419e-05,1.6810000000000003,16626.106728315353,rollout,0.4300534129142761,arithmetic
12,-0.05507351687178016,0.4313660139479911,0.4328492428479571,9.652393605146847e-05,1.6810000000000003,16360.329893827438,rollout,0.43015652894973755,arithmetic
13,-0.03576353771984577,0.4300069109152031,,9.592885397135708e-05,1.3784200000000004,15022.091980695724,rollout,0.43045517802238464,arithmetic
14,-0.03653506485372782,0.42946219917133477,0.4302501165112139,9.5288939097068e-05,1.3784200000000004,13086.416353940964,rollout,0.4274964928627014,arithmetic
15,-0.023316575130447745,0.42894919430640843,,9.460482294732424e-05,1.1303044000000004,15344.15869307518,rollout,0.42743414640426636,arithmetic
16,-0.029926356624811887,0.42819715828345295,0.4252227677155357,9.387718066217127e-05,1.1303044000000004,13402.968623399734,rollout,0.4272894859313965,arithmetic
17,-0.02178342333994806,0.4280641891713712,,9.310673033669524e-05,0.9268496080000004,13183.900844573975,rollout,0.4269694983959198,arithmetic
18,-0.022374289724975824,0.42786481229314394,0.42834095165028885,9.229423231234978e-05,0.9268496080000004,12852.396120548248,rollout,0.42679569125175476,arithmetic
19,-0.009897430060431362,0.42696166093996907,,9.144048842659084e-05,0.7600166785600003,3205.1425964832306,rollout,0.42670273780822754,arithmetic
20,-0.01435109942778945,0.4254616374142406,0.42242606922351733,9.054634122155993e-05,0.7600166785600003,3166.066633939743,rollout,0.4247913658618927,arithmetic
21,-0.002544545726850629,0.42643966326140414,,8.961267311259669e-05,0.6232136764192003,3487.507725715637,rollout,0.4249235987663269,arithmetic
22,0.00019591718912124635,0.42584513341267816,0.4215576442319583,8.864040551740159e-05,0.6232136764192003,3527.9108896255493,rollout,0.4250723719596863,arithmetic
23,0.0003876610714942217,0.42655337550594896,,8.763049794670778e-05,0.5110352146637444,3565.559070587158,rollout,0.4250699281692505,arithmetic
24,0.0021742002656683326,0.42663589717715966,0.4317347555742146,8.65839470573599e-05,0.5110352146637444,3240.538848400116,rollout,0.4252725839614868,arithmetic
25,0.0013254573494195939,0.42639398828892056,,8.550178566873413e-05,0.4190488760242704,2863.6880979537964,rollout,0.4253899157047272,arithmetic
26,-0.0029588466864079238,0.42657179565257736,0.4273476946553953,8.438508174347012e-05,0.4190488760242704,2833.684956073761,rollout,0.4255332946777344,arithmetic
